SN,Err_log(L_p),log(L_p),Err_t_p,t_p,Err_Ni_Mass,Ni_Mass,Ejecta_Masses,Type
PTF12gzk,0.077,42.904,0.455,16.345,0.079,0.355,7.019816553,Ic
PTF10vgv,0.132,42.682,1.687,10.347,0.076,0.145,1.355689335,Ic
SN2002ap,0.055,42.415,0,13.011,0.013,0.094,2.297943989,Ic-BL
SN2007uy,0.398,42.887,0.284,19.075,0.215,0.394,4.228822136,Ib
SN2005bf,0.071,42.426,0.351,18.325,0.026,0.131,0.930561121,Ib
SN1996cb,0.179,42.082,1.65,16.993,0.036,0.055,2.155103487,IIb
SN1999ex,0.124,42.544,0.036,18.349,0.058,0.172,2.152403352,Ib
SN2006ep,0.075,42.142,1.653,18.002,0.019,0.067,1.698688787,Ib
SN2007Y,0.119,42.005,0.35,18.757,0.015,0.051,1.358603703,Ib
SN2008ax,0.075,42.326,0.127,19.283,0.021,0.109,2.689381305,IIb
SN2009iz,0.066,42.241,1.65,21.828,0.024,0.101,2.310409847,Ib
SN2009jf,0.072,42.682,0.164,21.267,0.051,0.271,4.129212236,Ib
SN2010as,0.158,42.689,0.122,12.422,0.077,0.171,1.742846639,IIb
SN2011hs,0.055,42.068,0.057,8.588,0.004,0.031,1.143442854,IIb
SN2013df,0.074,42.397,0.103,21.793,0.028,0.144,3.661184374,IIb
SN2006T,0.054,42.322,1.651,14.148,0.02,0.082,2.200279043,IIb
SN1998bw,0.08,43.061,0.177,15.861,0.091,0.496,4.288352334,GRB-SN
SN1999dn,0.229,42.402,2.841,13.916,0.04,0.097,3.224145495,Ib
SN2003dh,0.116,42.981,1.66,12.65,0.153,0.339,6.696576622,GRB-SN
SN2008D,0.393,42.333,0.229,19.293,0.051,0.101,2.854454942,Ib
SN1993J,0.109,42.456,0.033,19.148,0.042,0.146,3.399576545,IIb
SN2003bg,0.086,42.424,1.656,16.624,0.04,0.119,3.709855357,IIb
SN2004fe,0.099,42.354,1.653,14.68,0.035,0.091,2.02210381,Ic
SN2006fe,0.094,42.533,1.711,15.83,0.053,0.147,1.032427279,Ic
SN2006jo,0.086,42.542,1.651,10.366,0.039,0.105,1.156054251,Ib
SN2006lc,0.044,42.13,1.651,13.837,0.011,0.051,1.427282534,Ib
SN2007ms,0.052,42.556,1.666,22.231,0.043,0.211,3.73863117,Ic
SN2011ei,0.146,42.177,0.033,17.732,0.029,0.072,3.757185237,IIb
SN2013ge,0.077,42.335,1.697,18.878,0.032,0.109,3.211261809,Ic
SN2011bm,0.096,42.922,0.151,34.586,0.176,0.702,11.13149327,Ic
SN2009bb,0.162,42.863,0.095,12.631,0.119,0.258,3.994437638,Ic
SN1994I,0.409,42.473,0.211,12.252,0.102,0.164,1.044260285,Ic
SN2007sj,0.074,42.152,1.658,14.542,0.017,0.057,5.347290928,Ic
SN2007gr,0.099,42.299,0.229,13.146,0.02,0.073,1.551856855,Ic
SN2004fe,0.099,42.354,1.653,14.68,0.035,0.091,2.02210381,Ic
SN2007ms,0.052,42.556,1.666,22.231,0.043,0.211,3.73863117,Ic
SN2013ge,0.077,42.335,1.697,18.878,0.032,0.109,3.211261809,Ic
SN2007ru,0.054,43.033,0.046,10.242,0.044,0.323,1.3,Ic-BL
SN2008hw,0.05,43.156,0.1,12.307,0.064,0.496,5.9,GRB-SN
SN2010bh,0.053,42.365,0.099,12.737,0.011,0.082,5.2,GRB-SN
SN2010ma,0.234,43.06,4.338,10.331,0.227,0.529,5.7,GRB-SN
SN2006aj,0.062,42.88,0.04,9.587,0.034,0.217,6,GRB-SN
SN2013cq,0.086,43.186,2,13,0.211,0.555,6.1,GRB-SN
SN2012bz,0.1,43.005,0.224,13.491,0.105,0.378,5.9,GRB-SN
SN2011kl,0.174,43.529,0.071,15.169,,,5.8,GRB-SN
SN2006nx,0.111,43.032,1.698,14.279,0.181,0.422,1.7,Ic-BL
SN2005kr,0.117,43.006,1.669,11.405,0.153,0.33,,Ic-BL
SN2019cri,0.017822994,43.1829689,7.3,55.96558908,0.073663274,1.70178226,11.96169903,
