Exposure Num,AP_LC_Mag,AP_Calibrated_Mag_Error,PSF_LC_Mag,PSF_Mag_Error,AP_Bkg_Mag,PSF_Bkg_Mag,MJD
Exposure0,18.04811849,0.071048418,18.03488741,0.062543891,18.2140923,18.17353861,58594.94568
Exposure1,18.02744322,0.052991369,18.00126742,0.05470278,18.19003965,18.13541859,58597.01904
Exposure2,18.04771369,0.047240098,18.07912496,0.066804094,18.21362066,18.22394391,58598.98581
Exposure3,18.02260401,0.049614669,17.99652066,0.053485293,18.18442067,18.1300491,58600.01484
Exposure4,18.03388288,0.053172703,18.05023052,0.059544268,18.19752324,18.19098856,58603.9797
Exposure5,18.04324349,0.047321232,18.07961646,0.053204475,18.2084142,18.22450556,58608.02007
Exposure6,18.12753152,0.050524817,18.14075443,0.057587139,18.30719964,18.29465943,58613.92971
Exposure7,18.14110116,0.184195532,18.18478477,0.072791984,18.32322937,18.34555465,58620.92334
Exposure8,18.20480855,0.05047486,18.2565911,0.057843707,18.39898682,18.4292738,58626.90763
Exposure9,18.35164128,0.051571405,18.39735012,0.054470363,18.57705465,18.59625597,58632.94142
Exposure10,18.6128995,0.048680858,18.65786737,0.064173948,18.90869912,18.91764419,58638.92853
Exposure11,18.82366675,0.131016973,18.88781695,0.118762807,19.1948727,19.21913059,58644.96074
Exposure12,19.26725531,4.990081496,19.28079509,1.410493385,19.88850034,19.7957656,58651.99081
Exposure13,19.16410931,0.050142508,19.2374512,0.051943792,19.71191776,19.72693603,58657.97405
Exposure14,19.22723608,0.107313033,19.29794746,0.05792023,19.81855933,19.8234614,58676.93723
Exposure15,19.54617383,0.0632898,19.62315186,0.061217488,20.44579859,20.41483663,58698.92491
Exposure16,17.90943357,0.166081557,17.96139505,0.227111313,nan,nan,58702.90854
Exposure17,22.61453056,2.393997503,22.01121232,0.139071148,nan,nan,58706.90347
Exposure18,19.87993235,0.301994368,20.01577356,0.080934241,21.45722052,21.49187946,58710.91536
Exposure19,19.86944046,0.101418686,20.01647975,0.078608386,21.4130627,21.49463227,58717.86833
Exposure20,20.26960398,0.13173156,20.18400736,0.239947876,nan,22.3808055,58814.25899
