Exposure Num,AP_LC_Mag,AP_Calibrated_Mag_Error,PSF_LC_Mag,PSF_Mag_Error,AP_Bkg_Mag,PSF_Bkg_Mag,MJD
Exposure0,17.75695515,0.181922022,17.72099358,0.18291612,17.28396597,17.25138971,58594.94781
Exposure1,17.7220058,0.282352486,17.73681441,0.297936757,17.26123086,17.26162909,58597.02115
Exposure2,17.65336978,0.181405551,17.60569577,0.194287189,17.21584375,17.17519665,58598.98792
Exposure3,17.63059068,0.181384265,17.67065086,0.183238504,17.200567,17.2184591,58600.01693
Exposure4,17.53358392,0.183283679,17.50754686,0.182232421,17.1343414,17.10820866,58603.98181
Exposure5,17.50990994,0.182762917,17.49033712,0.184099448,17.11789675,17.09626616,58608.02217
Exposure6,17.45748871,0.18443533,17.43047266,0.183757492,17.08109677,17.05427639,58613.9318
Exposure7,17.4526165,0.196363553,17.47805782,0.1944764,17.07764967,17.08770977,58620.92545
Exposure8,17.43606981,0.182977307,17.4598846,0.184569791,17.06590913,17.07499272,58626.90974
Exposure9,17.50635569,0.182305773,17.47282798,0.183174336,17.11541843,17.08405664,58632.94352
Exposure10,17.67250925,0.182323612,17.63100911,0.183191639,17.22859772,17.19215896,58638.93063
Exposure11,17.86289261,0.186498075,17.90925984,0.194234236,17.3513002,17.36977092,58644.96284
Exposure12,17.99511181,0.185075088,17.97482855,0.201632571,17.43193244,17.40919063,58651.99292
Exposure13,18.12223262,0.182493241,18.04910719,0.181909583,17.50580084,17.45269262,58657.97616
Exposure14,nan,nan,nan,--,nan,nan,58676.93935
Exposure15,18.75780847,0.180536197,18.80789683,0.177803251,17.81981824,17.82503511,58698.92706
Exposure16,18.91379086,0.215921571,18.85625409,0.179889648,17.88285634,17.84433414,58702.91065
Exposure17,18.98524345,0.20021428,19.07525114,0.185196473,17.90994821,17.92537697,58706.90558
Exposure18,18.99792966,0.310753063,19.13673529,0.175403874,17.91464302,17.94630623,58710.91747
Exposure19,19.12286279,0.183651645,19.16984633,0.184055633,17.95905165,17.95725547,58717.87228
Exposure20,19.64729416,0.224344496,nan,--,18.11168925,nan,58814.26296
