Exposure Num,AP_LC_Mag,AP_Calibrated_Mag_Error,PSF_LC_Mag,PSF_Mag_Error,AP_Bkg_Mag,PSF_Bkg_Mag,MJD
Exposure0,19.16788371,0.097655233,19.19705403,0.08122188,nan,nan,58594.94463
Exposure1,19.1161861,0.064779984,19.20430655,0.104025692,nan,nan,58597.01798
Exposure2,19.07288152,0.057710554,19.11072768,0.059264049,nan,nan,58598.98476
Exposure3,19.21123157,0.077534228,19.27662977,0.075416369,nan,nan,58600.01379
Exposure4,19.24266661,0.092702763,19.29404467,0.084530045,nan,nan,58603.97865
Exposure5,19.59527131,0.114212306,19.59117381,0.090745427,nan,nan,58608.01902
Exposure6,19.5915572,0.095577646,19.5939173,0.084427644,nan,nan,58613.92865
Exposure7,19.85355914,0.276080411,19.90324614,0.188318549,nan,nan,58620.9223
Exposure8,nan,nan,22.02338406,0.194674452,nan,nan,58626.90658
Exposure9,nan,nan,22.48695048,0.176692421,nan,nan,58632.94037
Exposure10,21.44673819,0.449618298,21.26448983,0.138698176,nan,nan,58638.92748
Exposure11,nan,0.141318738,nan,0.066427203,nan,nan,58644.95968
