Exposure Num,AP_LC_Mag,AP_Calibrated_Mag_Error,PSF_LC_Mag,PSF_Mag_Error,AP_Bkg_Mag,PSF_Bkg_Mag,MJD
Exposure0,17.88054075,0.064929825,17.84945413,0.040480878,17.38490816,17.36498082,58594.94885
Exposure1,17.80185691,0.054994854,17.7354269,0.04263157,17.33440432,17.29063273,58597.0222
Exposure2,17.76432605,0.041482563,17.80099784,0.054933545,17.30985631,17.33371854,58598.98896
Exposure3,17.71721573,0.039513897,17.61059735,0.039335568,17.27862975,17.20618167,58600.01798
Exposure4,17.66465359,0.048494882,17.65612197,0.036812643,17.24325453,17.2373436,58603.98286
Exposure5,17.6219196,0.044964516,17.62160142,0.03520288,17.21408418,17.21375176,58608.02322
Exposure6,17.56343961,0.038291354,17.57387389,0.033854102,17.17358039,17.18074586,58613.93285
Exposure7,17.47593521,0.114994147,17.47197979,0.041417543,17.11173923,17.10880616,58620.9265
Exposure8,17.49472235,0.040462545,17.50740874,0.030488254,17.12513931,17.13404446,58626.91079
Exposure9,17.53633245,0.038282783,17.51950317,0.031652399,17.15457979,17.14260565,58632.94457
Exposure10,17.65052819,0.049920451,17.62174359,0.039041566,17.23365284,17.21384941,58638.93168
Exposure11,17.83882825,0.129231387,17.78719079,0.122447531,17.35829788,17.3247204,58644.96389
Exposure12,17.93592874,0.129610495,17.99027436,0.133178671,17.419667,17.45298388,58651.99397
Exposure13,17.98538093,0.050124314,18.00908093,0.065448213,17.45013951,17.46441059,58657.97721
Exposure14,18.03451361,0.091944248,18.05901623,0.128396771,17.47988491,17.49437248,58676.94039
Exposure15,18.49071736,0.163829921,18.53877244,0.125216246,17.7301166,17.75351417,58698.92811
Exposure16,18.68435118,0.172397716,18.75176126,0.052017846,17.82191164,17.85165085,58702.9117
Exposure17,18.84235963,0.255262351,18.86026922,0.128477964,17.89048061,17.897684,58706.90664
Exposure18,nan,0.249207852,nan,0.050513875,16.97380983,16.96871527,58710.91851
Exposure19,18.6412004,0.145455263,18.73304916,0.078742079,17.80219998,17.84344386,58717.87334
Exposure20,19.3117995,0.134108268,19.57764421,0.061510554,18.06193889,18.13893278,58814.26493
