_RAJ2000,_DEJ2000,cl,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag
208.518518,14.656159,6,23.728,1.083,23.119,0.257,22.053,0.162,21.129,0.145,20.319,0.221
208.517069,14.65698,3,25.692,0.887,24.415,0.617,21.535,0.095,20.992,0.119,21.901,0.729
208.516348,14.658541,6,24.15,1.194,25.009,0.696,22.424,0.198,21.817,0.241,22.665,0.933
208.520431,14.667888,3,23.338,0.919,22.112,0.121,20.264,0.038,19.544,0.039,19.184,0.091
208.512228,14.648644,6,23.415,0.87,22.799,0.193,21.669,0.113,21.241,0.156,21.115,0.431
208.520503,14.648074,6,24.569,1.408,22.209,0.111,20.709,0.047,19.248,0.027,18.456,0.041
208.523539,14.653959,3,20.9,0.231,20.013,0.041,19.084,0.028,18.654,0.035,18.524,0.111
208.524357,14.661923,3,25.356,1.172,22.503,0.151,20.991,0.064,20.339,0.071,20.086,0.179
208.524713,14.64822,6,24.141,1.194,22.795,0.17,21.882,0.122,21.519,0.184,20.944,0.328
208.527732,14.66043,3,22.658,0.929,21.077,0.087,19.145,0.025,18.463,0.026,17.951,0.056
208.540466,14.652601,3,23.536,1.168,21.976,0.119,20.405,0.047,19.628,0.046,19.31,0.115
208.51364,14.658758,3,23.348,0.861,24.606,0.762,21.842,0.138,20.902,0.12,20.38,0.242
208.518988,14.664957,3,22.895,0.827,22.639,0.257,21.366,0.129,20.916,0.169,21.252,0.768
208.512186,14.648641,6,23.048,0.423,22.735,0.134,21.754,0.098,21.42,0.112,21.813,0.465
208.51896,14.665137,3,25.219,1.168,22.644,0.175,21.506,0.105,21.334,0.141,20.481,0.227
208.520407,14.667874,3,26.604,0.351,22.084,0.094,20.317,0.034,19.658,0.029,19.194,0.065
208.520497,14.648037,6,23.095,0.46,22.009,0.076,20.743,0.043,19.256,0.02,18.508,0.033
208.52352,14.653969,3,22.582,0.693,20.227,0.037,19.398,0.027,19.017,0.031,18.692,0.082
208.524344,14.661897,3,23.607,0.79,22.749,0.166,20.974,0.058,20.308,0.05,19.604,0.091
208.52463,14.648288,3,24.781,0.95,22.972,0.167,21.948,0.118,21.506,0.123,21.799,0.471
208.527699,14.660424,3,23.611,1.58,20.984,0.071,19.21,0.024,18.544,0.021,18.025,0.045
208.528529,14.656916,6,26.131,0.504,22.876,0.179,23.42,0.466,21.979,0.213,22.904,0.807
208.540442,14.652628,3,25.136,1.129,22.293,0.125,20.445,0.04,19.804,0.036,19.301,0.078
208.513655,14.658766,6,25.266,0.804,23.34,0.228,22.128,0.137,21.141,0.089,20.537,0.171
208.518441,14.656258,3,24.027,1.159,23.168,0.279,21.645,0.122,20.732,0.085,20.725,0.285
208.517025,14.65701,3,24.442,1.083,24.518,0.589,21.745,0.111,21.038,0.091,21.825,0.542
