# mjd g dr r dr
58567.2941898	19.879	0.239024  nan     nan
58572.3598727	19.0771	0.133842  18.9707 0.192285
58575.3938426	nan	nan	  18.6645 0.147727
58580.3559028	18.4469	0.0914304 18.2842 0.101767
58583.3583449	18.3451	0.0901283 nan	  nan
58586.2728819	18.2515	0.0862823 nan	  nan
58589.2951736	nan	nan	  18.0667 0.186451
58593.3157523	nan	nan	  17.8445 0.0727935
58596.274456	nan	nan	  17.7492 0.0471498
58600.2363542	18.0738 0.0711942 nan	  nan
58606.3038773	18.0902	0.0648844 17.5734 0.066699
58612.2474653	18.111	0.0715927 17.5661 0.0643249
58616.2981019	18.192	0.0774862 17.4986 0.0539733
58628.2868287	18.235	0.0818076 17.523  0.062051
58634.2698958	18.5133	0.085531  17.6331 0.0746865
58637.2076736	18.631	0.0990774 17.7411 0.0686769
58640.2331366	18.7796	0.0995843 17.8387 0.0668288
58643.2347569	18.9195	0.123807  17.9771 0.0564897
58648.1905324	nan	nan	  18.0971 0.106658
58651.1924653	19.2301	0.260231  nan	  nan
58654.1919792	19.3329	0.174392  18.2137 0.0833173
58657.1922222	19.3917	0.131729  nan	  nan
58660.2138426	nan	nan	  18.3475 0.0738716
58665.2700579	19.3776	0.127311  18.2985 0.0710966
58668.1721759	19.4637	0.120835  18.3739 0.0931288
58671.2046181	nan	nan       18.4766 0.111758
58676.208588	nan	nan	  18.4333 0.100216
58679.1926157	nan	nan	  18.5013 0.0958775
58682.2362037	19.4308	0.175011  18.4775 0.0836839
58685.1874074	19.4154	0.124529  nan	  nan
58690.1731134	19.5373	0.162292  18.3915 0.0773568
58693.2497222	19.573	0.212289  nan	  nan
58716.144838	nan	nan	  19.4506 0.153833
